,No.,Short Citation (Study id.),Study no.,Study id. + no.,Consonant/Vowel,Consonant/Vowel_short,Phonetic feature,C/V + feature,Semantic dimension,Semantic feature
312,313,"Thompson and Estes, 2011",1,"Thompson and Estes, 2011: 1",consonant,C,voiced,C: voiced,size,big
313,314,"Thompson and Estes, 2011",1,"Thompson and Estes, 2011: 1",vowel,V,back,V: back,size,big
314,315,"Thompson and Estes, 2011",1,"Thompson and Estes, 2011: 1",vowel,V,front,V: front,size,small
315,316,"Thompson and Estes, 2011",2,"Thompson and Estes, 2011: 2",consonant,C,voiced stop,C: voiced stop,size,big
316,317,"Thompson and Estes, 2011",2,"Thompson and Estes, 2011: 2",consonant,C,voiceless stop,C: voiceless stop,size,small
317,318,"Thompson and Estes, 2011",2,"Thompson and Estes, 2011: 2",vowel,V,front,V: front,size,small
318,319,"Thompson and Estes, 2011",2,"Thompson and Estes, 2011: 2",vowel,V,back,V: back,size,big
319,320,"Kawahara and Moore, 2018",1,"Kawahara and Moore, 2018: 1",consonant,C,voiced obstruent,C: voiced obstruent,size,big
320,321,"Kawahara and Moore, 2018",1,"Kawahara and Moore, 2018: 1",consonant,C,voiceless obstruent,C: voiceless obstruent,size,small
321,322,"Kawahara and Moore, 2018",1,"Kawahara and Moore, 2018: 1",vowel,V,open back,V: open back,size,big
322,323,"Kawahara and Moore, 2018",1,"Kawahara and Moore, 2018: 1",vowel,V,close front,V: close front,size,small
323,324,"Kawahara and Moore, 2018",1,"Kawahara and Moore, 2018: 1",vowel,V,back,V: back,size,big
324,325,"Kawahara and Moore, 2018",1,"Kawahara and Moore, 2018: 1",vowel,V,front,V: front,size,small
325,326,"Kawahara and Moore, 2018",2,"Kawahara and Moore, 2018: 2",consonant,C,coronal,C: coronal,size,big
326,327,"Kawahara and Moore, 2018",2,"Kawahara and Moore, 2018: 2",consonant,C,labial,C: labial,size,small
327,328,"Maurer, Pathman, and Mondloch, 2006",1,"Maurer, Pathman, and Mondloch, 2006: 1",vowel,V,unrounded,V: unrounded,shape,sharp
328,329,"Maurer, Pathman, and Mondloch, 2006",1,"Maurer, Pathman, and Mondloch, 2006: 1",vowel,V,rounded,V: rounded,shape,round
329,330,"Maurer, Pathman, and Mondloch, 2006",2,"Maurer, Pathman, and Mondloch, 2006: 2",vowel,V,unrounded,V: unrounded,shape,sharp
330,331,"Maurer, Pathman, and Mondloch, 2006",2,"Maurer, Pathman, and Mondloch, 2006: 2",vowel,V,rounded,V: rounded,shape,round
331,332,"Preziosi and Coane, 2017",1,"Preziosi and Coane, 2017: 1",consonant,C,stop,C: stop,size,big
332,333,"Preziosi and Coane, 2017",1,"Preziosi and Coane, 2017: 1",consonant,C,fricative,C: fricative,size,small
333,334,"Preziosi and Coane, 2017",1,"Preziosi and Coane, 2017: 1",vowel,V,front,V: front,size,small
334,335,"Preziosi and Coane, 2017",1,"Preziosi and Coane, 2017: 1",vowel,V,back,V: back,size,big
335,336,"Preziosi and Coane, 2017",2,"Preziosi and Coane, 2017: 2",consonant,C,stop,C: stop,size,big
336,337,"Preziosi and Coane, 2017",2,"Preziosi and Coane, 2017: 2",consonant,C,fricative,C: fricative,size,small
